0274	Fruit tea boba		Boba Drinks	cup	0	0%	No	Active
0273	Taro		Boba Drinks	cup	0	0%	No	Active
0272	Caramel milk tea		Boba Drinks	cup	0	0%	No	Active
0271	Mango boba		Boba Drinks	cup	0	0%	No	Active
0270	Gotta cake		Snacks	pcs	0	0%	No	Active
0269	Fanta		Juices	pcs	0	0%	No	Active
0268	Liin Dhanaan		Juices	ml	0	0%	No	Active
0267	Cake pcs		Snacks	pcs	0	0%	No	Active
0266	coke pcs		Snacks	pcs	0	0%	No	Active
0265	Macha Boba		Snacks	pcs	0	0%	No	Active
0264	waffle		Snacks	pcs	0	0%	No	Active
0263	donats		Snacks	plates	0	0%	No	Active
0262	cupcale		Snacks	pcs	0	0%	No	Active
0261	SPECIAL sareen		Extras	plates	0	0%	Yes	Active
0260	full maharage		BREAKFAST NASHAAD	plates	0	0%	Yes	Active
0259	WATER		Extras	tea	0	0%	No	Active
0258	SAREN		NASHAAD SOMALI LUNCH	plates	0	0%	Yes	Active
0257	kando kando		Coffee	cup	0	0%	No	Active
0256	ice coffee		Coffee	cup	0	0%	No	Active
0255	UKUUN		Snacks	pcs	0	0%	Yes	Active
0254	MISHARYO		BREAKFAST NASHAAD	plates	0	0%	Yes	Active
0253	MISHARYO MALAB		BREAKFAST NASHAAD	plates	0	0%	No	Active
0252	half ceek		Snacks	pcs	0	0%	No	Active
0251	FRUITLATO		BREAKFAST NASHAAD	cup	0	0%	No	Active
0250	maciato coffee		BREAKFAST NASHAAD	cup	0	0%	No	Active
0249	black coffee		Coffee	cup	0	0%	No	Active
0248	fish skolobo		NASHAAD LUNCH	plates	0	0%	Yes	Active
0247	Federeshin		NASHAAD LUNCH	plates	0	0%	Yes	Active
0246	fetereshan especialle		NASHAAD LUNCH	plates	0	0%	Yes	Active
0245	hilib itho		NASHAAD LUNCH	plates	0	0%	Yes	Active
0244	kalankal		NASHAAD LUNCH	plates	0	0%	Yes	Active
0243	Canjeero (Plain)		BREAKFAST NASHAAD	plates	0	0%	Yes	Active
0242	rooti		Snacks	plates	0	0%	No	Active
0241	Sugar(sonkor)		Ingredient	gram	0	0%	No	Active
0240	Caano Geel		Ingredient	L	100000000001	0%	No	Active
0239	ceke fuul		Snacks	pcs	0	0%	No	Active
0238	timir shake		Snacks	cup	0	0%	No	Active
0237	Basto saldato		NASHAAD LUNCH	plates	0	0%	Yes	Active
0236	fruit watermelon		Fruit Based(salads)	plates	500000	0%	No	Active
0235	fruit pawpaw		Fruit Based(salads)	plates	0	0%	No	Active
0234	qaxwo		Tea	cup	0	0%	No	Active
0233	big cup tea		Tea	cup	0	0%	No	Active
0232	capcake		Snacks	pcs	0	0%	No	Active
0231	miik 1		Extras	juices	0	0%	No	Active
0230	Boardroom Services		Service	package	500	0%	No	Active
0229	odkac		Somali	pcs	0	0%	Yes	Active
0228	eggs		Ingredient	pcs	0	0%	No	Active
0227	meatby		Snacks	plates	0	0%	No	Active
0226	cruisone		Snacks	pcs	0	0%	No	Active
0225	Galaas Caano		NASHAAD LUNCH	cup	0	0%	No	Active
0224	ugali saldato		NASHAAD LUNCH	plates	0	0%	No	Active
0223	Baris Saldato		NASHAAD SOMALI LUNCH	plates	0	0%	Yes	Active
0222	koosto 1		Extras	pcs	0	0%	No	Active
0221	koosto		Extras	pcs	0	0%	No	Active
0220	ugali calooley		Extras	pcs	0	0%	Yes	Active
0219	coke		Juices	pcs	0	0%	No	Active
0218	omlette		BREAKFAST NASHAAD	pcs	0	0%	Yes	Active
0217	mandazi		BREAKFAST NASHAAD	pcs	0	0%	Yes	Active
0214	sanbuus		Somali	pcs	0	0%	Yes	Active
0213	faniila		Juices	juices	0	0%	No	Active
0212	Feeto kharo		Somali	juices	0	0%	No	Active
0211	Basto		NASHAAD LUNCH	plates	0	0%	Yes	Active
0210	CAANO LOOS		Juices	cup	500000	0%	No	Active
0209	Waslad Hilib Ari		NASHAAD SOMALI LUNCH	plates	0	0%	Yes	Active
