0485	Chips Mayai	Fries	plates	20000	2000	2.00	4.50	4.50	4.50	0%	-
0475	Dynamite Medium	Fries	plates	1994	400	6.00	12.00	12.00	12.00	0%	-
0471	Loaded fries	Fries	plates	14983	2000	3.00	7.00	7.00	7.00	0%	-
0193	Chips Masala	Fries	plates	-	0	2.00	2.00	2.00	2.00	0%	-
0173	CHIPS	Fries	plates	-	0	0.00	1.50	1.50	1.50	0%	-
PROD_0066	Masala Fries	Fries	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0064	Plain Fries	Fries	pcs	-	0	0.00	1.50	1.50	1.50	0%	-
0459	Feet Babaay	Fruit Based(salads)	pcs	14989	50000	0.85	2.00	2.00	2.00	0%	-
0433	Cananas fruit	Fruit Based(salads)	pcs	-56	0	0.50	2.50	2.50	2.50	0%	-
0432	Cananas juice	Fruit Based(salads)	pcs	1628	1000	0.40	1.50	1.50	1.50	0%	-
0236	fruit watermelon	Fruit Based(salads)	plates	17264	500000	2.00	1.50	1.50	1.50	0%	-
0235	fruit pawpaw	Fruit Based(salads)	plates	3212.1	0	1.66	1.50	1.50	1.50	0%	-
0167	FRUIT SALAD	Fruit Based(salads)	plates	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0081	Mixed Fruit	Fruit Based(salads)	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0080	Nashad Fruit Platter	Fruit Based(salads)	pcs	-	0	0.00	3.00	3.00	3.00	0%	-
PROD_0032	Bufallo Wings	Grillers Wings	pcs	-	0	0.00	4.50	4.50	4.50	0%	-
PROD_0031	Bbq Wings	Grillers Wings	pcs	-	0	0.00	4.00	4.00	4.00	0%	-
PROD_0034	Chicken Shawarma	Grillers Wraps	pcs	-	0	0.00	3.00	3.00	3.00	0%	-
PROD_0033	Beef	Grillers Wraps	pcs	-	0	0.00	3.00	3.00	3.00	0%	-
0347	Pure green tea	Herbal Tea	tea	0	0	0.00	0.00	0.00	0.00	0%	-
0345	Pure hibiscus	Herbal Tea	tea	0	0	0.00	0.00	0.00	0.00	0%	-
0303	Lemon Tea	Herbal Tea	tea	0	0	0.00	1.00	1.00	1.00	0%	-
0474	Icecream scoop 2	Ice Cream Sundae	pcs	1000	100	0.75	1.50	1.50	1.50	0%	-
0473	Icecream scoop 1	Ice Cream Sundae	pcs	995	100	0.50	1.00	1.00	1.00	0%	-
PROD_0150	Brownie	Ice Cream Sundae	pcs	-	0	0.00	3.50	3.50	3.50	0%	-
PROD_0149	Coconut Cookie	Ice Cream Sundae	pcs	-	0	0.00	3.50	3.50	3.50	0%	-
PROD_0097	Iced Vanilla Latte	Iced Coffee	pcs	-	0	0.00	2.50	2.50	2.50	0%	-
PROD_0096	Iced Matcha Latte	Iced Coffee	pcs	-	0	0.00	2.50	2.50	2.50	0%	-
PROD_0095	Iced Caramel	Iced Coffee	pcs	-	0	0.00	2.50	2.50	2.50	0%	-
PROD_0094	Iced Matcha	Iced Coffee	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0093	Iced Latte	Iced Coffee	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0092	Iced Mocha	Iced Coffee	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0120	Lemon	Iced Tea	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0119	Peach	Iced Tea	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0118	Strawberry	Iced Tea	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0117	Blueberry	Iced Tea	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
PROD_0116	Passion	Iced Tea	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
0430	Peanut butter	Ingredient	package	7	0	15.25	0.00	0.00	0.00	0%	-
0429	Take away (tea)	Ingredient	package	1	0	47.00	0.00	0.00	0.00	0%	-
0428	Pasta	Ingredient	kg	10	0	8.50	0.00	0.00	0.00	0%	-
0427	Plain youghurt	Ingredient	L	0	0	0.00	0.00	0.00	0.00	0%	-
0426	Coconut cream	Ingredient	L	7	0	1.79	0.00	0.00	0.00	0%	-
0425	firewood	Ingredient	unit	1	0	290.00	0.00	0.00	0.00	0%	-
0423	take away (food)	Ingredient	package	2	0	45.75	0.00	0.00	0.00	0%	-
0421	Hilib oodkac	Ingredient	kg	78	0	5.50	0.00	0.00	0.00	0%	-
0419	Teabag box	Ingredient	package	2	0	25.00	25.00	25.00	25.00	0%	-
0418	Straw	Ingredient	package	23	0	1.50	0.00	0.00	0.00	0%	-
0417	Black bag (large)	Ingredient	package	5	0	1.00	0.00	0.00	0.00	0%	-
0416	Black bag (small)	Ingredient	package	30	0	0.50	0.00	0.00	0.00	0%	-
0415	Sachet powdered milk	Ingredient	package	7	0	10.71	0.00	0.00	0.00	0%	-
0414	goat meat ingredient	Ingredient	unit	0	0	0.00	0.00	0.00	0.00	0%	-
0413	Tin milk	Ingredient	package	2	0	62.31	90.50	90.50	90.50	0%	-
0412	Cinnamon	Ingredient	gram	-20.3	0	0.00	0.00	0.00	0.00	0%	-
0410	Whipping cream	Ingredient	L	10	0	5.60	0.00	0.00	0.00	0%	-
0409	ice block	Ingredient	block	8	0	3.10	0.00	0.00	0.00	0%	-
0408	Green peppers	Ingredient	kg	38	0	1.00	0.00	0.00	0.00	0%	-
0407	Carrots	Ingredient	kg	60	0	2.00	0.00	0.00	0.00	0%	-
0406	Banana ingredient	Ingredient	pcs	100	0	0.03	0.00	0.00	0.00	0%	-
0405	Dates ingredient	Ingredient	gram	3	0	14.33	0.00	0.00	0.00	0%	-
0403	Strawberry mojito ingredient	Ingredient	L	-0.09	0	0.00	0.00	0.00	0.00	0%	-
0402	lemon ingredient	Ingredient	pcs	2797	0	0.03	0.00	0.00	0.00	0%	-
0401	oranges	Ingredient	cartons	49997625.5	0	37.00	0.00	0.00	0.00	0%	-
0400	tomato	Ingredient	kg	111	0	0.71	0.00	0.00	0.00	0%	-
0399	Basmati rice	Ingredient	kg	152	0	4.09	0.00	0.00	0.00	0%	-
0392	Camel meat	Ingredient	kg	285	0	4.00	0.00	0.00	0.00	0%	-
0391	Spinach	Ingredient	package	24	0	0.67	0.00	0.00	0.00	0%	-
0390	Lettuce	Ingredient	pcs	467.7	0	0.10	0.00	0.00	0.00	0%	-
0389	Oyster sauce	Ingredient	L	1	0	4.00	0.00	0.00	0.00	0%	-
0388	Dania	Ingredient	package	20	0	0.75	0.00	0.00	0.00	0%	-
0387	Semolina	Ingredient	package	1	0	3.00	0.00	0.00	0.00	0%	-
0386	Grapes	Ingredient	package	0	0	0.00	0.00	0.00	0.00	0%	-
0385	Banana	Ingredient	pcs	2240	0	0.10	0.00	0.00	0.00	0%	-
0384	Mayo	Ingredient	gram	129.7	0	0.00	0.00	0.00	0.00	0%	-
0383	Glycerine	Ingredient	package	0	0	0.00	0.00	0.00	0.00	0%	-
